room,baseline_tariff
101 Boardroom,0.0
Boardroom Ground Level,0.0
Botanic Conference Room,0.0
Garden Conference Room,0.0
P105,200.0
P106,200.0
P107,200.0
P201,275.0
P202,250.0
P203,250.0
P204,150.0
P205,275.0
P206,200.0
P207,150.0
P208,150.0
P209,200.0
P210,200.0
P211,200.0
P212,350.0
P305,275.0
P306,200.0
P308,150.0
P310,200.0
P311,200.0
P312,350.0
P401,275.0
P402,250.0
P403,250.0
P404,150.0
P405,275.0
P406,200.0
P407,150.0
P408,150.0
P409,200.0
P410,200.0
P411,200.0
P412,350.0
T101,200.0
T102,350.0
T103,200.0
T206,200.0
T207,200.0
T208,350.0
T209,200.0
T212,200.0
T304,200.0
T306,200.0
T311,350.0
T405,350.0
T409,200.0
T502,350.0
T503,200.0
T507,200.0
T508,350.0
T511,350.0
T601,200.0
T603,200.0
T612,200.0
